,species,countryCode,decimalLatitude,decimalLongitude,year
316,Lithobates catesbeianus,KR,35.613208,126.993147,2013.0
317,Lithobates catesbeianus,KR,36.694353,127.437486,2013.0
318,Lithobates catesbeianus,KR,35.693803,126.723914,2013.0
319,Lithobates catesbeianus,KR,36.687631,127.529517,2013.0
320,Lithobates catesbeianus,KR,35.056417,126.307028,2009.0
321,Lithobates catesbeianus,KR,35.130472,126.459889,2009.0
322,Lithobates catesbeianus,KR,35.023639,126.570972,2009.0
323,Lithobates catesbeianus,KR,36.371306,126.590583,2009.0
324,Lithobates catesbeianus,KR,34.924333,126.34825,2009.0
325,Lithobates catesbeianus,KR,34.945861,126.404672,2009.0
326,Lithobates catesbeianus,KR,34.949247,126.290017,2009.0
327,Lithobates catesbeianus,KR,36.36275,128.077333,2009.0
328,Lithobates catesbeianus,KR,34.957464,126.902495,2009.0
329,Lithobates catesbeianus,KR,35.091472,126.926683,2009.0
330,Lithobates catesbeianus,KR,35.944714,129.076078,2012.0
331,Lithobates catesbeianus,KR,35.950833,128.186667,2012.0
332,Lithobates catesbeianus,KR,35.969167,128.200833,2012.0
333,Lithobates catesbeianus,KR,34.476628,126.587914,2012.0
334,Lithobates catesbeianus,KR,34.329953,126.596822,2012.0
335,Lithobates catesbeianus,KR,34.478919,126.713589,2012.0
336,Lithobates catesbeianus,KR,34.567434,126.022374,2012.0
337,Lithobates catesbeianus,KR,34.619758,126.059412,2012.0
338,Lithobates catesbeianus,KR,34.630875,126.024183,2012.0
339,Lithobates catesbeianus,KR,36.245917,128.2815,2011.0
340,Lithobates catesbeianus,KR,36.20075,128.222528,2011.0
341,Lithobates catesbeianus,KR,35.784444,126.845278,2011.0
342,Lithobates catesbeianus,KR,35.8475,126.695,2011.0
343,Lithobates catesbeianus,KR,35.863611,126.7375,2011.0
344,Lithobates catesbeianus,KR,35.953333,126.811667,2011.0
345,Lithobates catesbeianus,KR,35.974722,126.798333,2011.0
346,Lithobates catesbeianus,KR,35.886944,126.851389,2011.0
347,Lithobates catesbeianus,KR,35.899722,126.683056,2011.0
348,Lithobates catesbeianus,KR,35.850603,127.055719,2011.0
349,Lithobates catesbeianus,KR,35.777819,127.092164,2011.0
350,Lithobates catesbeianus,KR,33.376561,126.217444,2011.0
351,Lithobates catesbeianus,KR,34.510394,127.344367,2011.0
352,Lithobates catesbeianus,KR,36.001731,128.599386,2011.0
353,Lithobates catesbeianus,KR,35.971933,127.226131,2011.0
354,Lithobates catesbeianus,KR,35.984189,126.907672,2011.0
355,Lithobates catesbeianus,KR,34.699658,127.109525,2011.0
356,Lithobates catesbeianus,KR,34.534289,126.967875,2011.0
357,Lithobates catesbeianus,KR,36.027622,128.429083,2011.0
358,Lithobates catesbeianus,KR,36.102569,128.462681,2011.0
359,Lithobates catesbeianus,KR,36.051528,127.005365,2010.0
360,Lithobates catesbeianus,KR,36.131083,127.057197,2010.0
361,Lithobates catesbeianus,KR,36.176133,127.104728,2010.0
362,Lithobates catesbeianus,KR,36.045523,126.943717,2010.0
363,Lithobates catesbeianus,KR,36.036894,126.685828,2010.0
364,Lithobates catesbeianus,KR,36.050922,126.744603,2010.0
365,Lithobates catesbeianus,KR,36.190842,126.632989,2010.0
366,Lithobates catesbeianus,KR,34.871386,127.528861,2010.0
367,Lithobates catesbeianus,KR,34.793994,127.387675,2010.0
368,Lithobates catesbeianus,KR,35.143778,128.890032,2008.0
369,Lithobates catesbeianus,KR,35.297508,128.470539,2008.0
370,Lithobates catesbeianus,KR,35.384554,128.504452,2008.0
371,Lithobates catesbeianus,KR,36.653264,127.3181,2008.0
372,Lithobates catesbeianus,KR,36.546699,128.129451,2008.0
373,Lithobates catesbeianus,KR,35.2664,128.481872,2008.0
374,Lithobates catesbeianus,KR,35.281843,128.384519,2008.0
